clave,clave_padre,nombre,abreviatura,tipo,categoria,nivel,pagina_manual,activo,notas
SAD.3.3,SAD.3,División Servicios Generales,,División,Órganos y Áreas de la Administración Central,3,143,true,
CCDI,,Coordinación de Centros de Desarrollo Infantil,,Coordinación,Órganos y Áreas de la Administración Central,1,145,true,
CCDI.1,CCDI,"Centro de Desarrollo Infantil ""Laura Pérez de Baíz""",,Centro,Órganos y Áreas de la Administración Central,2,146,true,
CCDI.2,CCDI,"Centro de Desarrollo Infantil ""Amalia Solórzano de Cárdenas""",,Centro,Órganos y Áreas de la Administración Central,2,147,true,
CCDI.3,CCDI,"Centro de Desarrollo Infantil ""Eva Sámano de López Mateos""",,Centro,Órganos y Áreas de la Administración Central,2,148,true,
CCDI.4,CCDI,"Centro de Desarrollo Infantil ""Clementina Batalla de Bassols""",,Centro,Órganos y Áreas de la Administración Central,2,149,true,
CCDI.5,CCDI,"Centro de Desarrollo Infantil ""Margarita Salazar de Ero""",,Centro,Órganos y Áreas de la Administración Central,2,150,true,
CCDI.6,CCDI,"Centro de Desarrollo Infantil ""Zacatenco""",,Centro,Órganos y Áreas de la Administración Central,2,151,true,
CECYT1,,"CECyT No. 1 ""Gonzalo Vázquez Vela""",CECyT 1,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,153,true,
CECYT2,,"CECyT No. 2 ""Miguel Bernard""",CECyT 2,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,154,true,
CECYT3,,"CECyT No. 3 ""Estanislao Ramírez Ruiz""",CECyT 3,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,155,true,
CECYT4,,"CECyT No. 4 ""Lázaro Cárdenas""",CECyT 4,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,156,true,
CECYT7,,"CECyT No. 7 ""Cuauhtémoc""",CECyT 7,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,157,true,
CECYT8,,"CECyT No. 8 ""Narciso Bassols""",CECyT 8,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,158,true,
CECYT9,,"CECyT No. 9 ""Juan de Dios Bátiz""",CECyT 9,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,159,true,
CECYT10,,"CECyT No. 10 ""Carlos Vallejo Márquez""",CECyT 10,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,160,true,
CECYT11,,"CECyT No. 11 ""Alfredo Massieu""",CECyT 11,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,161,true,
CET1,,"CET No. 1 ""Walter Cross Buchanan""",CET 1,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,162,true,
CECYT6,,"CECyT No. 6 ""Miguel Othón de Mendizábal""",CECyT 6,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Médico Biológicas",1,164,true,
CECYT15,,"CECyT No. 15 ""Diódoro Antúnez Echegaray""",CECyT 15,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Médico Biológicas",1,165,true,
CECYT5,,"CECyT No. 5 ""Benito Juárez""",CECyT 5,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Sociales y Administrativas",1,167,true,"Categoría de rama inferida, no visible con claridad en el escaneo original"
CECYT12,,"CECyT No. 12 ""José María Morelos""",CECyT 12,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Sociales y Administrativas",1,168,true,"Categoría de rama inferida, no visible con claridad en el escaneo original"
CECYT13,,"CECyT No. 13 ""Ricardo Flores Magón""",CECyT 13,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Sociales y Administrativas",1,169,true,"Categoría de rama inferida, no visible con claridad en el escaneo original"
CECYT14,,"CECyT No. 14 ""Luis Enrique Erro""",CECyT 14,Unidad Académica,"Unidades Académicas de Nivel Medio Superior, Rama de Ciencias Sociales y Administrativas",1,170,true,"Categoría de rama inferida, no visible con claridad en el escaneo original"
CECYT16,,"CECyT No. 16 ""Hidalgo""",CECyT 16,Unidad Académica,Unidades Académicas de Nivel Medio Superior Interdisciplinarias,1,172,true,
CECYT17,,"CECyT No. 17 ""León, Guanajuato""",CECyT 17,Unidad Académica,Unidades Académicas de Nivel Medio Superior Interdisciplinarias,1,173,true,
CECYT18,,"CECyT No. 18 ""Zacatecas""",CECyT 18,Unidad Académica,Unidades Académicas de Nivel Medio Superior Interdisciplinarias,1,,true,Plantel de nueva creación (2025/2026); no aparece en el manual de organización vigente. Sitio: https://cecyt18.ipn.mx/
CECYT19,,"CECyT No. 19 ""Leona Vicario""",CECyT 19,Unidad Académica,Unidades Académicas de Nivel Medio Superior Interdisciplinarias,1,,true,Plantel de nueva creación (2025/2026); no aparece en el manual de organización vigente. Sitio: https://cecyt19.ipn.mx/
ESIME-ZAC,,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Zacatenco",ESIME Zacatenco,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,175,true,
ESIME-CUL,,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Culhuacán",ESIME Culhuacán,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,176,true,
ESIME-AZC,,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Azcapotzalco",ESIME Azcapotzalco,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,177,true,
ESIME-TIC,,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Ticomán",ESIME Ticomán,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,178,true,
ESIA-ZAC,,"Escuela Superior de Ingeniería y Arquitectura, Unidad Zacatenco",ESIA Zacatenco,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,179,true,
ESIA-TEC,,"Escuela Superior de Ingeniería y Arquitectura, Unidad Tecamachalco",ESIA Tecamachalco,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,180,true,
ESIA-TIC,,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",ESIA Ticomán,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,181,true,
ESIT,,Escuela Superior de Ingeniería Textil,ESIT,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,182,true,
ESFM,,Escuela Superior de Física y Matemáticas,ESFM,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,183,true,
ESCOM,,Escuela Superior de Cómputo,ESCOM,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,184,true,
UPIICSA,,Unidad Profesional Interdisciplinaria de Ingeniería y Ciencias Sociales y Administrativas,UPIICSA,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,186,true,
UPIITA,,Unidad Profesional Interdisciplinaria de Ingeniería y Tecnologías Avanzadas,UPIITA,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,187,true,
UPIBI,,Unidad Profesional Interdisciplinaria de Biotecnología,UPIBI,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,188,true,
UPIG,,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",UPIG,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,189,true,
UPIZ,,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",UPIZ,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Físico Matemáticas",1,190,true,
ENCB,,Escuela Nacional de Ciencias Biológicas,ENCB,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,193,true,
ESM,,Escuela Superior de Medicina,ESM,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,194,true,
ENMH,,Escuela Nacional de Medicina y Homeopatía,ENMH,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,195,true,
ESEO,,Escuela Superior de Enfermería y Obstetricia,ESEO,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,196,true,
CICS-MA,,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",CICS Milpa Alta,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,196,true,
CICS-ST,,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",CICS Santo Tomás,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ciencias Médico Biológicas",1,197,true,
ESCA-ST,,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",ESCA Santo Tomás,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Sociales y Administrativas",1,199,true,
ESCA-TEP,,"Escuela Superior de Comercio y Administración, Unidad Tepepan",ESCA Tepepan,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Sociales y Administrativas",1,200,true,
ESE,,Escuela Superior de Economía,ESE,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Sociales y Administrativas",1,201,true,
EST,,Escuela Superior de Turismo,EST,Unidad Académica,"Unidades Académicas de Nivel Superior, Rama de Ingeniería y Ciencias Sociales y Administrativas",1,202,true,
CEPROBI,,Centro de Desarrollo de Productos Bióticos,CEPROBI,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,204,true,
CICIMAR,,Centro Interdisciplinario de Ciencias Marinas,CICIMAR,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,205,true,
CIIDIR-DGO,,"Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional, Unidad Durango",CIIDIR Durango,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,206,true,
CIIDIR-MICH,,"Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional, Unidad Michoacán",CIIDIR Michoacán,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,207,true,
CIIDIR-OAX,,"Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional, Unidad Oaxaca",CIIDIR Oaxaca,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,208,true,
CIIDIR-SIN,,"Centro Interdisciplinario de Investigación para el Desarrollo Integral Regional, Unidad Sinaloa",CIIDIR Sinaloa,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,209,true,
CIIEMAD,,Centro Interdisciplinario de Investigaciones y Estudios sobre Medio Ambiente y Desarrollo,CIIEMAD,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,210,true,
CIC,,Centro de Investigación en Computación,CIC,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,211,true,
CIECAS,,"Centro de Investigaciones Económicas, Administrativas y Sociales",CIECAS,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,212,true,
CBG,,Centro de Biotecnología Genómica,CBG,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,213,true,
CICATA-LEG,,"Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada, Unidad Legaria",CICATA Legaria,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,214,true,
CICATA-QRO,,"Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada, Unidad Querétaro",CICATA Querétaro,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,215,true,
CICATA-ALT,,"Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada, Unidad Altamira",CICATA Altamira,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,216,true,
CICATA-MOR,,"Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada, Unidad Morelos",CICATA Morelos,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,217,true,
CIBA,,"Centro de Investigación en Biotecnología Aplicada, Unidad Allende",CIBA,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,218,true,
CITEDI,,Centro de Investigación y Desarrollo Tecnológico en Cómputo,CITEDI,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,219,true,
CIDETEC,,Centro de Innovación y Desarrollo Tecnológico en Cómputo,CIDETEC,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,220,true,
CIITEC,,Centro de Investigación e Innovación Tecnológica,CIITEC,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,221,true,
CMPMASL,,Centro Mexicano para la Producción Más Limpia,CMP+L,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,222,true,
CRPMASL-TAB,,"Centro Regional para la Producción Más Limpia, Unidad Tabasco",CRP+L Tabasco,Centro,Unidades Académicas de Investigación Científica y Tecnológica,1,223,true,
CEC-ALL,,"Centro de Educación Continua, Unidad Allende",CEC Allende,Centro,Unidades Académicas de Educación Continua,1,225,true,
CEC-CAJ,,"Centro de Educación Continua, Unidad Cajeme Sonora",CEC Cajeme Sonora,Centro,Unidades Académicas de Educación Continua,1,226,true,
CEC-CAM,,"Centro de Educación Continua, Unidad Campeche",CEC Campeche,Centro,Unidades Académicas de Educación Continua,1,227,true,
CEC-CAN,,"Centro de Educación Continua, Unidad Cancún",CEC Cancún,Centro,Unidades Académicas de Educación Continua,1,228,true,
CEC-CUL,,"Centro de Educación Continua, Unidad Culiacán",CEC Culiacán,Centro,Unidades Académicas de Educación Continua,1,229,true,
CEC-DGO,,"Centro de Educación Continua, Unidad Durango",CEC Durango,Centro,Unidades Académicas de Educación Continua,1,230,true,
CEC-HGO,,"Centro de Educación Continua, Unidad Hidalgo",CEC Hidalgo,Centro,Unidades Académicas de Educación Continua,1,231,true,
CEC-MOC,,"Centro de Educación Continua, Unidad Los Mochis",CEC Los Mochis,Centro,Unidades Académicas de Educación Continua,1,232,true,
CEC-MAZ,,"Centro de Educación Continua, Unidad Mazatlán",CEC Mazatlán,Centro,Unidades Académicas de Educación Continua,1,233,true,
CEC-MORA,,"Centro de Educación Continua, Unidad Morelia",CEC Morelia,Centro,Unidades Académicas de Educación Continua,1,234,true,
CEC-MOR,,"Centro de Educación Continua, Unidad Morelos",CEC Morelos,Centro,Unidades Académicas de Educación Continua,1,235,true,
CEC-OAX,,"Centro de Educación Continua, Unidad Oaxaca",CEC Oaxaca,Centro,Unidades Académicas de Educación Continua,1,236,true,
CEC-REY,,"Centro de Educación Continua, Unidad Reynosa",CEC Reynosa,Centro,Unidades Académicas de Educación Continua,1,237,true,
CEC-TAM,,"Centro de Educación Continua, Unidad Tampico",CEC Tampico,Centro,Unidades Académicas de Educación Continua,1,238,true,
CEC-TIJ,,"Centro de Educación Continua, Unidad Tijuana",CEC Tijuana,Centro,Unidades Académicas de Educación Continua,1,239,true,
CEC-TLAX,,"Centro de Educación Continua, Unidad Tlaxcala",CEC Tlaxcala,Centro,Unidades Académicas de Educación Continua,1,240,true,
CDCYT,,Centro de Difusión de Ciencia y Tecnología,CDCyT,Centro,Unidades Académicas de Apoyo Educativo,1,242,true,
CENLEX-ZAC,,"Centro de Lenguas Extranjeras, Unidad Zacatenco",CENLEX Zacatenco,Centro,Unidades Académicas de Apoyo Educativo,1,244,true,
CENLEX-ST,,"Centro de Lenguas Extranjeras, Unidad Santo Tomás",CENLEX Santo Tomás,Centro,Unidades Académicas de Apoyo Educativo,1,245,true,
CITP,,Coordinación Institucional de Tutoría Politécnica,CITP,Coordinación,Unidades Académicas de Apoyo Educativo,1,246,true,
CGFIE,,Coordinación General de Formación e Innovación Educativa,CGFIE,Coordinación,Órganos y Áreas de la Administración Central,1,248,true,
CGFIE.1,CGFIE,Dirección de Formación y Desarrollo Profesional,,Dirección,Órganos y Áreas de la Administración Central,2,249,true,
CGFIE.2,CGFIE,Dirección de Innovación e Investigación Educativa,,Dirección,Órganos y Áreas de la Administración Central,2,250,true,
